,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1
1,1,32,1024,0.529296875,0.9981549815498155,0.44649446494464945,0.4777931635590517,0.4384384324533418,0.4817983517902495,0.5264599143737488,0.4822316455763731,0.4458602035146956,0.4876801423914957,0.5323542187131194,ours,qed,0,300,0.0,1.0,marginal,xtheta_conf,0.0,False,32,-1
