,Seed,T,Num Samples,Valid,Unique,Novel,RING_COUNT Mean,RING_COUNT 25%ile,RING_COUNT Median,RING_COUNT 75%ile,Novel RING_COUNT Mean,Novel RING_COUNT 25%ile,Novel RING_COUNT Median,Novel RING_COUNT 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Conf_blend,Cv_coeff,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,1.7406953728946484,1.0,1.0,2.0,1.7406953728946484,1.0,1.0,2.0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1,-1
1,5,32,1024,0.822265625,0.8776722090261283,0.19239904988123516,2.3064133016627077,1.0,2.0,3.0,3.376543209876543,2.0,3.0,5.0,ours,ring_count,5,300,0.0,1.0,marginal,blend_conf,0.75,1.0,0.0,False,32,-1
