,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1
1,1,32,1024,0.607421875,0.8987138263665595,0.38263665594855306,0.45581135392416766,0.4040720374517602,0.4599032446342823,0.5064592469999357,0.46084792782527345,0.4188975139735438,0.46182307560589064,0.5058935812588065,ours,qed,5,2000,0.0,1.0,edlm,bernoulli,0.0,False,32,-1
