,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1
1,1,32,1024,0.724609375,0.9986522911051213,0.2884097035040431,0.47167497219095994,0.43455252059616556,0.4796845573410232,0.5207419749394627,0.4592217455572716,0.41299011114440376,0.47011853068129605,0.5124244856643885,ours,qed,2,300,0.0,1.0,marginal,0.0,False,32,-1
