,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Condition,Classifier_checkpoint_path,Gamma,Use_approx
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1
1,1,32,1024,0.9326171875,0.9905759162303664,0.09947643979057591,0.5216271024185336,0.48079083826937197,0.5314141779722498,0.5676857860255671,0.5225458407284856,0.4892480511728031,0.5284430791452135,0.5625503513683889,cbg,1,/home/aailab/wp03052/Synthetic-Data/DLRT/outputs/qm9/classifier/qed_uniform_T-0/checkpoints/best.ckpt,3,True
