,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Conf_blend,Cv_coeff,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1,-1
1,4,32,1024,0.828125,0.8443396226415094,0.24528301886792453,0.5107998614617649,0.4654165697719055,0.5128217987135145,0.5610862985984748,0.5069129894864888,0.46267798299099905,0.500399380853252,0.5535400913963244,ours,qed,50,300,0.0,1.0,marginal,cv_conf,0.5,0.5,0.0,False,32,-1
