,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Conf_blend,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1
1,1,32,1024,0.8330078125,0.7971864009378663,0.22157092614302462,0.5022716499631945,0.45954573847405716,0.5069023071912335,0.555723148027545,0.5066058094000794,0.45044452512904526,0.5109469537879969,0.5618351789734102,ours,qed,50,300,0.0,1.0,marginal,blend_conf,0.25,0.0,False,32,-1
