,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Conf_blend,Cv_coeff,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1,-1
1,3,32,1024,0.83203125,0.6572769953051644,0.1772300469483568,0.518921550679288,0.47408545710016986,0.5234959937499339,0.5772630441718967,0.5201758464495763,0.47128039088637286,0.5108910396253626,0.5808428769445756,ours,qed,200,300,0.0,1.0,marginal,blend_conf,0.5,1.0,0.0,False,32,-1
