,Seed,T,Num Samples,Valid,Unique,Novel,QED Mean,QED 25%ile,QED Median,QED 75%ile,Novel QED Mean,Novel QED 25%ile,Novel QED Median,Novel QED 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Invalid_reward,Support_floor,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,0.4652669356225954,0.42732485598733244,0.4726292218618887,0.5153048468173811,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,-1
1,1,32,1024,0.9482421875,0.9824922760041195,0.16992790937178168,0.5204751718531129,0.4801909693734658,0.5202083164609124,0.5625589439154197,0.506807495312876,0.4629263662132261,0.5119282245854351,0.5560981176463027,ours,qed,200,300,0.0,1.0,aggregate_x0,0.0,0.0,False,32,-1
