,Seed,T,Num Samples,Valid,Unique,Novel,RING_COUNT Mean,RING_COUNT 25%ile,RING_COUNT Median,RING_COUNT 75%ile,Novel RING_COUNT Mean,Novel RING_COUNT 25%ile,Novel RING_COUNT Median,Novel RING_COUNT 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,1.7406953728946484,1.0,1.0,2.0,1.7406953728946484,1.0,1.0,2.0,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1
1,1,32,1024,0.7255859375,0.9300134589502019,0.3001345895020188,1.8398384925975775,1.0,1.0,3.0,2.991031390134529,1.5,3.0,4.0,ours,ring_count,0.5,300,0.0,1.0,marginal,random_k,0.0,False,32,-1
