,Seed,T,Num Samples,Valid,Unique,Novel,RING_COUNT Mean,RING_COUNT 25%ile,RING_COUNT Median,RING_COUNT 75%ile,Novel RING_COUNT Mean,Novel RING_COUNT 25%ile,Novel RING_COUNT Median,Novel RING_COUNT 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Position_selection,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,1.7406953728946484,1.0,1.0,2.0,1.7406953728946484,1.0,1.0,2.0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1
1,1,32,1024,0.6376953125,0.9448698315467075,0.43032159264931086,2.306278713629403,1.0,2.0,4.0,3.3096085409252667,1.0,3.0,5.0,ours,ring_count,2,1000,0.0,1.0,marginal,bernoulli,0.0,False,32,-1
