,Seed,T,Num Samples,Valid,Unique,Novel,RING_COUNT Mean,RING_COUNT 25%ile,RING_COUNT Median,RING_COUNT 75%ile,Novel RING_COUNT Mean,Novel RING_COUNT 25%ile,Novel RING_COUNT Median,Novel RING_COUNT 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,1.7406953728946484,1.0,1.0,2.0,1.7406953728946484,1.0,1.0,2.0,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1
1,1,32,1024,0.52734375,0.9222222222222223,0.39444444444444443,1.798148148148148,1.0,1.0,3.0,2.4788732394366195,1.0,2.0,4.0,ours,ring_count,0.0,2,2.0,2.0,marginal,0.0,False,1,-1
