,Seed,T,Num Samples,Valid,Unique,Novel,RING_COUNT Mean,RING_COUNT 25%ile,RING_COUNT Median,RING_COUNT 75%ile,Novel RING_COUNT Mean,Novel RING_COUNT 25%ile,Novel RING_COUNT Median,Novel RING_COUNT 75%ile,Method,Reward,Lambda_,Num_x0_samples,T_min,T_max,Mixture_sampling,Invalid_reward,Normalize_reward,Num_reward_workers,Condition
0,-1,-1,133885,1.0,1.0,1.0,1.7406953728946484,1.0,1.0,2.0,1.7406953728946484,1.0,1.0,2.0,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1
1,1,32,1024,0.6796875,0.9410919540229885,0.41379310344827586,2.468390804597701,1.0,2.0,4.0,3.3958333333333335,2.0,3.0,5.0,ours,ring_count,30,300,0.0,1.0,edlm,0.0,False,32,-1
