model,arm,mode,N,lam,valid,novel,prop,hits@0.5,hits@0.55,hits@0.6,hits@0.65,hits@0.7
MDLM,B,edlm,30,5000.0,650,288,0.490725494513945,118,57,15,1,0
MDLM,B,edlm,100,5000.0,680,338,0.5006504590219324,168,77,30,6,0
MDLM,B,edlm,300,5000.0,713,391,0.50211387235036,194,99,28,7,1
MDLM,B,marginal,10,20.0,619,255,0.4730277404873594,86,32,7,0,0
MDLM,B,marginal,30,20.0,660,284,0.4698824456097167,99,34,7,2,0
MDLM,B,marginal,100,20.0,653,294,0.4718904472105185,92,32,12,3,0
MDLM,B,marginal,300,20.0,700,316,0.4807231102469986,117,52,9,0,0
MDLM,B,marginal,10,50.0,615,259,0.4771294903677334,88,32,9,0,0
MDLM,B,marginal,30,50.0,667,284,0.4816889171725525,114,43,8,2,0
MDLM,B,marginal,100,50.0,659,294,0.4855275983880863,106,49,18,4,0
MDLM,B,marginal,300,50.0,700,314,0.4975319405039401,151,68,22,4,0
MDLM,B,marginal,10,200.0,613,249,0.4815115238002255,99,32,9,0,0
MDLM,B,marginal,30,200.0,669,292,0.4860179586476913,124,47,13,3,0
MDLM,B,marginal,100,200.0,660,324,0.4958362434619245,140,75,26,4,0
MDLM,B,marginal,300,200.0,704,373,0.5091289176629429,207,99,35,3,0
MDLM,B,marginal,10,1000.0,614,251,0.4804920830338562,99,32,9,0,0
MDLM,B,marginal,30,1000.0,668,291,0.4861166452515121,122,48,14,3,0
MDLM,B,marginal,100,1000.0,657,334,0.4971983254502259,148,80,30,4,0
MDLM,B,marginal,300,1000.0,712,385,0.5109349448642017,211,115,37,3,0
MDLM,B,marginal,10,5000.0,615,253,0.4813194797892678,101,33,10,0,0
MDLM,B,marginal,30,5000.0,666,284,0.4873441883365941,121,49,14,3,0
MDLM,B,marginal,100,5000.0,658,331,0.4968371464664675,146,77,28,4,0
MDLM,B,marginal,300,5000.0,714,393,0.5118430713218186,221,114,37,3,0
MDLM,C,edlm,10,20.0,661,271,0.473832790149256,84,40,11,1,0
MDLM,C,edlm,30,20.0,657,258,0.4787379393970064,99,45,18,1,0
MDLM,C,edlm,100,20.0,697,308,0.4845068690485914,129,58,14,2,0
MDLM,C,edlm,300,20.0,767,377,0.4858240512034964,154,63,18,4,0
MDLM,C,edlm,10,50.0,659,291,0.4804822642002224,104,48,13,0,0
MDLM,C,edlm,30,50.0,657,281,0.4964756167171042,128,61,23,4,0
MDLM,C,edlm,100,50.0,700,327,0.4996722768940037,139,77,30,5,0
MDLM,C,edlm,300,50.0,759,409,0.5030783378044558,207,102,29,3,0
MDLM,C,edlm,10,200.0,648,292,0.4841187465227318,108,50,15,1,0
